label,type,caption,alt_text
kobe,figure,"Kobe plot showing stock status. Triangles delineate start and end years. Horizontal and vertical dashed lines delineate reference points for overfishing (i.e., F/F~MSY~>1) and overfished status (i.e., B/B~MSY~ <1) where MSY represents either actual maximum sustainable yield or a proxy for MSY.","A Kobe plot showing stock status from kobe_start_year to kobe_end_year. The x axis, showing overfished status (i.e., B/B~MSY~), spans from B_BMSY_min to B_BMSY_max and the y axis, showing overfishing (i.e., F/F~MSY~), spans from F_FMSY_min to F_FMSY_max. The B/B~MSY~ and F/F~MSY~ for end_year_kobe were B_BMSY_end_yr and F_FMSY_end_yr, respectively, indicating that the stock overfished_status_is_isnot overfished and overfishing_status_is_is_not experiencing overfishing."
biomass,figure,Biomass (B) time series. The horizontal dashed line represents the limit reference point (B_ref_pt B_ref_pt_unit).,"Line graph showing biomass time series. The x axis, showing the year, spans from B_start_year to B_end_year and the y axis, showing biomass in B_units, spans from B_min to B_max."
fishing_mortality,figure,Fishing mortality (F) over time. The horizontal dashed line represents the target reference point (F_ref_pt F_ref_pt_unit).,"Line graph showing fishing mortality over time . The x axis, showing the year, spans from F_start_year to F_end_year and the y axis, showing fishing mortality in F_units, spans from F_min to F_max."
landings,figure,Historical landings by fleet.,"Cumulative area plot showing historical landings. The x axis, showing the year, spans from landings_start_year to landings_end_year and the y axis, showing landings in landings_units, spans from landings_min to landings_max."
natural_mortality,figure,Natural mortality (M) for each age. ,"Line graph showing natural mortality. The x axis, showing age in M_units, spans from M_age_min to M_age_max and the y axis, showing the natural mortality rate per year, spans from M_rate_min to M_rate_max."
vonb_laa,figure,Aged and measured fish (points) and von Bertalanffy growth function (line) fit to the data.,"Point and line graph showing observations of measured age and length data as points and the von Bertalanffy relationship fit to this data as a line with 95% confidence intervals. The x axis, showing age in vonb_age_units, spans from vonb_age_min to vonb_age_max, and the y axis, showing length in vonb_length_units, spans from vonb_length_min to vonb_length_max."
length_type_conversion,figure,Length-type conversion relationship between total and fork length where points represent individual fish length measurement observations and the line is the fitted relationship.,"Point and line graph showing observations of measured fork length and measured total length from the same fish for conversion purposes as points, and a linear fit through those points as a line. The x axis, showing total length in total_length_units, spans from total_length_min to total_length_max and the y axis, showing fork length in fork_length_units, spans from fork_length_min to fork_length_max."
weight_length_converstion,figure,Weight-length conversion relationship where the points represent individual fish observations and the line is the fitted relationship. ,"Point and line graph showing observations of measured length and measured weight from the same fish for conversion purposes as points, and an exponential fit through those points as a line. The x axis, showing length in wl_length_units, spans from wl_length_min to wl_length_max, and the y axis, showing weight in wl_weight_units, spans from wl_weight_min to wl_weight_max."
maturity_schedule,figure,The relationship between the proportion mature and fish length. ,"Graph showing the relationship between fish maturity and length. Points, if present, show observations of maturity at different fish lengths and the line represents either the fit to the points, or the assumed or known maturity schedule. The x axis, showing length in prop_mat_length_units, spans from prop_mat_length_min to prop_mat_length_max and the y axis, showing the proportion mature, spans from 0--1."
fecundity_at_length,figure,Fecundity (in number of eggs) as a function of fish length. ,"Point and line graph showing observations of measured fecundity and measured length from the same fish and an exponential fit through those points displayed as a line. The x axis, showing length in fecundity_length_units, spans from fecundity_length_min to fecundity_length_max, and the y axis, showing fecundity in fecundity_units, spans from  fecundity_min to fecundity_max."
CAA,figure,"Histograms showing the proportion of the catch in each age group for each year in which there is composition data, for fleet or survey fleet_or_survey_name.","Histograms for each year and fleet for which there is data (one per year grouped by fleet or survey), which show the proportion of the catch in each age group. The x axis of each histogram, showing age groups, span from caa_age_min to caa_age_max, while the y axis of each histogram, showing the proportion of the catch, spans from 0--1."
CAL,figure,"Histograms showing the proportion of the catch in each length group, each year for which there is composition data, for fleet or survey fleet_or_survey_name.","Histograms for each year and fleet for which there is data (one per year grouped by fleet or survey), which show the proportion of the catch in each length group. The x axis of each histogram contains length intervals that span from cal_length_min to cal_length_max, while the y axis of each histogram contains the proportion of the catch, which span from 0--1."
CPUE_indices,figure,Catch per unit effort (CPUE) over time for fleet or survey. 95% confidence intervals are shown for each survey/fleet.,"Line graph showing catch per unit effort (CPUE) over time for fleet or survey from cpue_start_year to cpue_end_year, stratified by survey/fleet. The x axis, showing the year, spans from cpue_start_year to cpue_end_year, and the y axis, showing CPUE in cpue_units, spans from cpue_min to cpue_max."
NAA,figure,Model estimate of population numbers at age over time. The relative size of each bubble for a given year and age indicates the relative abundance in that category compared with others. ,"Bubble plot showing relative age proportions over time. The x axis, showing the year, spans from bubble_start_year to bubble_end_year, and the y axis, showing age in bubble_age_units, spans from bubble_age_min to bubble_age_max."
mod_fit_catch,figure,Observed catch from the data input file (points) and model estimated catch (line) over time for fleet_or_survey_name. ,"Point and line graph showing observed catch from the data input file as points and model estimated catch as a line over time for fleet_or_survey_name. The x axis, showing years, spans from mod_fit_catch_start_year to mod_fit_catch_end_year and the y axis, showing catch in mod_fit_catch_units, spans from mod_fit_catch_min to mod_fit_catch_max."
mod_fit_abun,figure,Assessment model fits to input catch per unit of effort index values over time calculated from fleet_or_survey_name.,"Point and line graph showing the assessment model fit, displayed as a line, to input catch per unit effort index values, displayed as points over time, for fleet_or_survey_name. The x axis, showing years, spans from mod_fit_abun_start_year to mod_fit_abun_end_year, and the y axis, showing catch per unit effort in cpue_units, spans from cpue_min to cpue_max."
mod_fit_discards,figure,Observed discards (points) and model-estimated discards (line).,"Point and line graph showing the assessment model fit to observed discards. Observed discards are represented as points while the model fitted estimates are represented as a line over time for fleet_or_survey_name. The x axis, showing the year, spans from mod_fit_discards_start_year to mod_fit_discards_end_year, and the y axis, showing discards in mod_fit_discards_units, spans from mod_fit_discards_min to mod_fit_discards_max."
selectivity,figure,Length-based selectivity for each fleet and survey estimated by the assessment model.,"Line graph showing length-based selectivity for fleet_or_survey_name from selectivity_start_year to selectivity_end_year. The x axis, showing length in selectivity_length_units, spans from selectivity_length_min to selectivity_length_max, and the y axis, showing the proportion of the stock that the gear selects for, spans from 0--1."
sr,figure,Stock recruitment relationship estimated by the assessment model. ,"Point and line graph showing the relationship between spawning stock biomass and newly recruited sr_age_min fish as estimated by the assessment model. Points represent model estimates of recruitment each year as a function of spawning stock biomass, after adjusted by annual recruitment deviations. The line represents the best fit through the points for the spawning stock relationship selected for use in the assessment model. The x axis, showing spawning stock biomass in sr_ssb_units, spans from sr_ssb_min to sr_ssb_max, while the y axis, showing recruitment in sr_units, spans from sr_min to sr_max."
recruitment,figure,Estimated recruitment by the assessment model each year in recruitment_units.,"Line graph showing the assessment model estimated recruitment in unit for each year. The x axis, showing years, spans from recruitment_start_year to recruitment_end_year while the y axis, showing recruitment in recruitment_units, spans from recruitment_min to recruitment_max."
recruitment_deviations,figure,Annual deviations (on natural log scale) in the number of newly recruited fish the model estimates each year. ,"Scatterplot showing annual deviations in recruitment. Points have error bars and the dashed horizontal line at 0 represents no deviation from what would be estimated by the stock-recruit relationship. Positive values represent an increase in recruitment that year while negative values represent a decrease. The x axis, showing year, spans from recruit_dev_start_year to recruit_dev_end_year, while the y axis, showing the recruitment deviation, spans from recruit_dev_min to recruit_dev_max on a natural log scale."
tot_b,figure,Model-estimated biomass (B) time series. The horizontal dashed line represents the biomass limit reference point at biomass_ref_pt biomass_ref_pt_units.,"Line graph showing model-estimated biomass time series. The x axis, showing the year, spans from biomass_start_year to biomass_end_year, and the y axis, showing model-estimated biomass in biomass_units, spans from biomass_min to biomass_max."
spawning_biomass,figure,Model-estimated spawning stock biomass (SSB) time series. The horizontal dashed line represents the spawning stock biomass associated with the biomass limit reference point at ssb_ref_pt ssb_ref_pt_units.,"Line graph showing model-estimated spawning stock biomass. The x axis, showing the year, spans from ssb_start_year to ssb_end_year, and the y axis, showing model-estimated spawning stock biomass in ssb_units, spans from ssb_min to ssb_max."
spr,figure,Model-estimated spawning potential ratio (SPR) (SSB~current~/SSB~target~) time series. The horizontal dashed line represents the spawning potential ratio of the limit reference point at spr_ref_pt spr_ref_pt_units.,"Line graph showing model-estimated spawning potential ratio over time. The x axis, showing the year, spans from spr_start_year to spr_end_year and the y axis, showing model-estimated spawning potential ratio in SSB~current~/SSB~target~, spans from spr_min to spr_max."
pop_naa_baa,figure,Model-estimated population numbers at age and population biomass at age over time. The relative size of each bubble for a given year and age indicates the relative abundance or biomass in that category compared with others. ,"Bubble plot showing model-estimated population numbers at age and population biomass at age. The x axis, showing the year, spans from pop_naa_baa_start_year to pop_naa_baa_end_year, and the y axis, showing numbers of fish, spans from pop_naa_baa_fish_min to pop_naa_baa_fish_max."
proj_catch,figure,Forecasted catch in proj_catch_units over future years for different fishing mortality scenarios as indicated in the legend.,"Time series line graph showing forecasted catch over future years for different fishing mortality scenarios. The x axis, showing the year, spans from proj_catch_start_year to proj_catch_end_year, and the y axis, showing catch in proj_catch_units, spans from proj_catch_min to proj_catch_max."
proj_biomass,figure,Forecasted biomass in proj_biomass_units over future years for different fishing mortality scenarios as indicated in the legend. The horizontal dashed line represents the biomass limit reference point. ,"Time series line graph showing forecasted biomass over future years for different fishing mortality scenarios. The horizontal dashed line represents the biomass limit reference point. The x axis, showing the year, spans from proj_biomass_start_year to proj_biomass_end_year, and the y axis, showing biomass in proj_biomass_units, spans from proj_biomass_min to proj_biomass_max."
report_version_model_changes,table,Document version history briefly describing when major changes or updates are made to each version of the report.,
projection_ts,table,Forecasted catch and biomass over future years for different fishing mortality scenarios. ,
catch,table,Observed (points) and model estimated (line) catch over time for fleet catch_fleet.,
life_history_params,table,Life history parameters used in the stock assessment model. The last column of the table indicates whether the parameters were estimated by the model or fixed.,
landings,table,Landed catch by fleet and year in landings_tbl_units. ,
discards,table,Discarded catch by fleet and year in discards_tbl_units.,
age_length_key,table,Age-length key: the proportion of fish for each age that belong to a particular length group. ,
indices_abundance,table,Calculated indices of abundance and their corresponding CVs for the fleets and surveys identified in the column headers. ,
model_runs,table,"The base configuration and alternative sensitivity analysis configurations of the stock assessment model, in which parameters and/or data input streams are changed from one configuration to another.",
derived_quantities,table,Derived quantities calculated by the base configuration of the stock assessment model.,
est_params,table,Parameters used in the base stock assessment model and whether the parameter was estimated by the model or fixed (i.e. not allowed to be estimated or changed by the model). CVs for estimated models are provided.,
F_per_fleet_per_year,table,Partial fishing mortality estimates for each fleet in the assessment model.,
B_div_N,table,"Historical biomass, abundance, and catch time series estimated by the base configuration of the stock assessment model.",
naa,table,Historical population abundance (numbers) estimated by the base model for each age group.,
catchability,table,Catchability over time for fleet catchability_fleet.,
sensitivity_runs,table,"Forecasted catch, biomass, spawning biomass, recruitment, fishing mortality, and stock status as projected from the base model configuration.",
